Team,Season,Games,PA,AB,PPG,H,2B,3B,HR,TB,RBI,DB,CS,BB,HBP,IBB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,wOBA,wRC+,GP,CG,Shout out,Starting,Win,Lose,Save,Hold,Inning,R,ER,Batters Faced,HPG,HRPG,BBPG,IBBPG,HBPPG,KPG,Balk,WPPG,ERA,FIP,WHIP,ERA+,FIP+,RPG,WAR
LG,12,133,5180,4539,4.09,1184,212,18,59,1609,512,140,57,458,53,19,857,107,80,50,0.261,0.332,0.354,0.687,0.321,97.7,576,1,0,133,57,72,35,64,1202.0,580,537,5188,9.29,0.49,3.17,0.17,0.53,5.53,6,0.43,4.02,3.76,1.38,95.0,101.7,4.36,43.8
Lotte,23,144,5575,4870,4.53,1289,231,19,69,1765,608,101,42,522,51,18,1000,111,75,57,0.265,0.339,0.362,0.701,0.327,95.9,691,0,0,144,68,76,35,82,1272.1,660,587,5653,9.22,0.56,3.69,0.14,0.57,7.43,2,0.49,4.15,3.98,1.46,100.2,103.3,4.58,34.739999999999995
Lotte,22,144,5534,4948,4.2,1320,227,16,106,1897,570,61,39,417,54,19,991,127,73,42,0.267,0.328,0.383,0.711,0.324,96.4,675,0,0,144,63,76,33,68,1280.2,712,636,5686,9.53,0.58,3.42,0.15,0.56,8.33,1,0.49,4.47,3.61,1.46,93.1,113.1,4.94,30.200000000000003
Lotte,21,144,5726,5009,5.05,1393,266,10,107,2000,697,60,31,579,54,19,969,113,38,46,0.278,0.356,0.399,0.756,0.352,105.5,732,1,1,144,65,71,37,76,1271.0,808,760,5759,9.26,0.92,4.56,0.13,0.62,7.33,5,0.71,5.38,4.75,1.57,84.5,94.0,5.61,35.35
Lotte,20,144,5669,4958,5.21,1366,252,6,131,2023,711,90,31,569,55,18,875,148,39,48,0.276,0.354,0.408,0.762,0.347,99.6,689,1,0,144,71,72,25,59,1277.1,720,659,5583,9.38,0.99,3.1,0.17,0.4,6.96,4,0.43,4.64,4.57,1.41,104.8,104.9,5.0,39.93
Lotte,19,144,5488,4919,4.01,1231,214,22,90,1759,545,62,31,430,64,12,1085,108,35,40,0.25,0.316,0.358,0.674,0.312,85.8,664,1,1,144,48,93,16,47,1270.1,764,688,5726,9.76,0.83,3.79,0.23,0.49,7.17,4,0.72,4.87,4.39,1.54,86.1,95.4,5.31,22.880000000000003
Lotte,18,144,5764,5130,5.7,1484,289,17,203,2416,792,68,32,471,81,22,1157,124,45,37,0.289,0.356,0.471,0.827,0.356,103.9,686,0,0,144,68,74,29,64,1283.2,846,771,5788,9.79,1.15,3.81,0.16,0.51,8.08,7,0.45,5.41,5.1,1.53,96.5,102.6,5.88,40.5
Lotte,17,144,5671,4994,5.16,1425,250,17,151,2162,697,92,44,457,112,33,1018,146,76,32,0.285,0.356,0.433,0.789,0.347,98.1,623,1,0,144,80,62,39,59,1287.1,701,653,5634,9.42,1.12,3.31,0.17,0.55,7.61,7,0.47,4.57,4.91,1.43,110.4,102.6,4.87,45.06
Lotte,16,144,5784,5001,5.4,1439,252,20,127,2112,732,145,64,596,83,18,1061,120,62,41,0.288,0.37,0.422,0.793,0.359,100.4,668,2,1,144,66,78,27,59,1266.1,865,792,5785,10.32,1.12,4.06,0.19,0.54,7.01,5,0.57,5.63,5.36,1.64,92.8,97.5,6.01,32.54
Lotte,15,144,5680,4972,5.31,1393,254,19,177,2216,727,104,50,532,68,22,1186,136,80,28,0.28,0.356,0.446,0.802,0.354,102.9,618,3,1,144,66,77,19,47,1281.1,802,727,5724,10.15,1.14,3.4,0.18,0.6,7.05,3,0.62,5.11,4.98,1.52,98.7,99.0,5.57,35.89
Lotte,14,128,5194,4487,5.59,1289,252,26,121,1956,686,63,41,534,70,19,964,95,62,41,0.287,0.369,0.436,0.805,0.359,100.1,528,0,0,128,57,68,28,56,1100.0,705,645,4940,9.91,0.98,3.56,0.09,0.41,5.91,1,0.41,5.28,5.33,1.57,103.3,100.2,5.51,44.78
